Model,MSE,MAE,R2,TOPSIS Score,Rank
Linear,1570.5788658453612,24.564569416202854,0.32623663291643745,0.35863615174986985,7.0
Ridge,1570.560603673075,24.557540419627095,0.3262444672143242,0.3586745436172576,6.0
Lasso,1570.9911105431268,24.104948401063048,0.3260597838694592,0.3606917170107754,5.0
KNN,1591.070076087445,14.995150527081078,0.3174460989874759,0.42361145218281826,4.0
SVR,2573.0879795400688,15.959419808353523,-0.10383022374621254,0.16561735935577993,8.0
Decision Tree,275.7531491610458,5.600420526560258,0.8817045267175172,0.9588717224183965,2.0
Random Forest,173.94467759798476,4.921027958642038,0.9253793908645258,1.0,1.0
Gradient Boosting,274.49501917778355,7.360542589527058,0.8822442524913613,0.935626445900836,3.0
